alpha_max,cast_cap,k_shrink,precision,recall
0.9,0.3,10,0.006907894736842105,0.06907894736842106
0.9,0.27,10,0.006907894736842105,0.06907894736842106
0.9,0.26,10,0.006907894736842105,0.06907894736842106
0.9,0.25,10,0.006907894736842105,0.06907894736842106
0.9,0.28,10,0.006907894736842105,0.06907894736842106
0.9,0.29,10,0.006907894736842105,0.06907894736842106
0.9,0.22,5,0.006907894736842105,0.06907894736842106
0.9,0.23,5,0.006907894736842105,0.06907894736842106
0.9,0.24,10,0.006907894736842105,0.06907894736842106
0.89,0.19,5,0.006743421052631579,0.06743421052631579
0.89,0.18,5,0.006743421052631579,0.06743421052631579
0.87,0.28,10,0.006743421052631579,0.06743421052631579
0.9,0.23,10,0.006743421052631579,0.06743421052631579
0.89,0.2,5,0.006743421052631579,0.06743421052631579
0.89,0.21,5,0.006743421052631579,0.06743421052631579
0.89,0.22,5,0.006743421052631579,0.06743421052631579
0.89,0.23,10,0.006743421052631579,0.06743421052631579
0.89,0.24,10,0.006743421052631579,0.06743421052631579
0.89,0.25,10,0.006743421052631579,0.06743421052631579
0.89,0.26,10,0.006743421052631579,0.06743421052631579
0.89,0.27,10,0.006743421052631579,0.06743421052631579
0.87,0.25,10,0.006743421052631579,0.06743421052631579
0.87,0.26,10,0.006743421052631579,0.06743421052631579
0.87,0.29,10,0.006743421052631579,0.06743421052631579
0.82,0.22,5,0.006743421052631579,0.06743421052631579
0.82,0.23,5,0.006743421052631579,0.06743421052631579
0.82,0.15,5,0.006743421052631579,0.06743421052631579
0.81,0.22,3,0.006743421052631579,0.06743421052631579
0.81,0.23,5,0.006743421052631579,0.06743421052631579
0.81,0.24,5,0.006743421052631579,0.06743421052631579
0.89,0.28,10,0.006743421052631579,0.06743421052631579
0.89,0.29,10,0.006743421052631579,0.06743421052631579
0.89,0.3,10,0.006743421052631579,0.06743421052631579
0.81,0.16,5,0.006743421052631579,0.06743421052631579
0.8,0.24,5,0.006743421052631579,0.06743421052631579
0.8,0.25,5,0.006743421052631579,0.06743421052631579
0.8,0.3,5,0.006743421052631579,0.06743421052631579
0.8,0.22,3,0.006743421052631579,0.06743421052631579
0.8,0.23,3,0.006743421052631579,0.06743421052631579
